Dataset,Algorithm,k,ef,IS_MB,NMCS,IT_s,Recall,Pruning
audio,DAP_k10_th2.835,100,200,24.5382,1341.29,2.08812,0.9899,0.563972
audio,DAP_k20_th2.633,100,200,24.5258,1338.67,2.38028,0.9896,0.566712
audio,DAP_k50_th2.593,50,200,24.5464,1339.3,2.36409,0.995,0.565908
audio,DAP_k100_th2.289,100,200,24.5363,1343.84,2.31618,0.9928,0.566905
audio,DAP_k10_th1.317,100,200,24.5363,1338.46,2.20291,0.9902,0.566106
audio,DAP_k20_th1.294,100,200,24.532,1342.24,2.21264,0.9883,0.565271
audio,DAP_k50_th3.084,50,200,24.5242,1337.59,2.27602,0.9938,0.565278
audio,DAP_k100_th2.228,100,200,24.5415,1341.31,2.24913,0.9913,0.563807
audio,DAP_k10_th3.895,100,200,24.5383,1344.09,2.4035,0.9912,0.566339
audio,DAP_k20_th2.533,100,200,24.5458,1344.54,2.27258,0.9907,0.56519
audio,DAP_k50_th0.604,50,200,24.5195,1341.92,2.2418,0.9932,0.562738
audio,DAP_k100_th0.698,100,200,24.5441,1340.56,2.53921,0.9909,0.568904
audio,DAP_k10_th1.683,100,200,24.5389,1343.27,2.45475,0.9912,0.570168
audio,DAP_k20_th0.865,100,200,24.5331,1343.63,2.30897,0.9916,0.563384
audio,DAP_k50_th3.525,50,200,24.533,1344.9,2.32477,0.9946,0.565566
audio,DAP_k100_th1.332,100,200,24.527,1339.23,2.35475,0.9914,0.564451
audio,DAP_k10_th3.424,100,200,24.5477,1339.19,2.03283,0.9916,0.571032
audio,DAP_k20_th2.488,100,200,24.5445,1343.71,2.13224,0.9915,0.566871
audio,DAP_k50_th1.187,50,200,24.5411,1344.18,2.24666,0.994,0.564411
audio,DAP_k100_th3.088,100,200,24.5307,1339.9,2.24371,0.9921,0.565482
audio,DAP_k10_th1.779,100,200,24.5475,1342.47,2.24785,0.9933,0.568475
audio,DAP_k20_th1.624,100,200,24.5331,1339.43,2.40372,0.9908,0.566943
audio,DAP_k50_th3.059,50,200,24.5413,1346.58,2.31097,0.9946,0.566353
audio,DAP_k100_th0.971,100,200,24.5291,1341.72,2.33439,0.9914,0.568994
audio,DAP_k10_th1.453,100,200,24.5425,1340.17,2.38355,0.9919,0.567547
audio,DAP_k20_th3.119,100,200,24.536,1340.71,2.72854,0.99,0.565782
audio,DAP_k50_th0.503,50,200,24.5325,1343.83,2.34425,0.9934,0.563717
audio,DAP_k100_th1.433,100,200,24.5382,1338.82,2.29974,0.9914,0.566088
audio,DAP_k10_th2.155,100,200,24.541,1341.41,2.35085,0.9919,0.565606
audio,DAP_k20_th1.873,100,200,24.5383,1343.32,2.38653,0.9907,0.565993
audio,DAP_k50_th2.943,50,200,24.5531,1340.61,2.61493,0.9936,0.566735
audio,DAP_k100_th2.583,100,200,24.5444,1342.04,2.46363,0.9919,0.568143
audio,DAP_k10_th2.745,100,200,24.5357,1341.57,3.00052,0.9913,0.568342
audio,DAP_k20_th1.895,100,200,24.5364,1343.08,3.31071,0.9913,0.567047
audio,DAP_k50_th2.550,50,200,24.5402,1338.11,3.31227,0.9942,0.567786
audio,DAP_k100_th2.863,100,200,24.5358,1341.52,3.10109,0.9904,0.564531
audio,DAP_k10_th1.055,100,200,24.5338,1343.52,2.86988,0.9913,0.564204
audio,DAP_k20_th0.300,100,200,24.5425,1345.45,3.0863,0.99,0.565186
audio,DAP_k50_th0.808,50,200,24.5332,1340.25,3.39524,0.9942,0.562313
audio,DAP_k100_th1.342,100,200,24.5382,1338.79,3.05719,0.9906,0.566952
audio,DAP_k10_th0.829,100,200,24.5374,1341.98,3.23627,0.9915,0.569122
audio,DAP_k20_th1.205,100,200,24.5455,1341.55,3.21474,0.9903,0.564526
audio,DAP_k50_th0.410,50,200,24.5337,1342.19,3.22107,0.9936,0.566932
audio,DAP_k100_th1.218,100,200,24.5414,1341.52,3.22467,0.9909,0.570413
audio,DAP_k10_th2.144,100,200,24.5469,1344.57,3.32182,0.992,0.564069
audio,DAP_k20_th1.896,100,200,24.5286,1340.33,3.1901,0.9919,0.565577
audio,DAP_k50_th1.572,50,200,24.5407,1342.31,3.16309,0.994,0.567909
audio,DAP_k100_th1.698,100,200,24.5277,1342.96,3.19144,0.9916,0.565728
audio,DAP_k10_th3.155,100,200,24.5382,1344.95,3.02025,0.9904,0.566125
audio,DAP_k20_th1.611,100,200,24.5285,1342.64,3.07333,0.9906,0.565736
audio,DAP_k50_th1.071,50,200,24.5352,1341.75,3.1333,0.9946,0.568541
audio,DAP_k100_th1.031,100,200,24.5293,1340.2,3.18061,0.9912,0.56708
audio,DAP_k10_th0.633,100,200,24.5243,1340.05,3.29011,0.9918,0.565203
audio,DAP_k20_th2.849,100,200,24.534,1342.06,3.26998,0.9902,0.573104
audio,DAP_k50_th0.792,50,200,24.5331,1345.49,3.2671,0.995,0.565125
audio,DAP_k100_th2.955,100,200,24.5376,1341.68,3.37047,0.9912,0.567073
audio,DAP_k10_th0.839,100,200,24.5314,1339.97,3.29192,0.9912,0.569125
audio,DAP_k20_th1.978,100,200,24.5356,1344.26,3.30582,0.9902,0.566371
audio,DAP_k50_th2.282,50,200,24.5353,1342.62,3.31379,0.9926,0.566296
audio,DAP_k100_th0.996,100,200,24.5383,1340.19,3.32881,0.9916,0.565965
audio,DAP_k10_th0.393,100,200,24.5369,1341.47,3.24185,0.9915,0.566744
audio,DAP_k20_th1.217,100,200,24.5305,1343.63,3.47933,0.9912,0.561836
audio,DAP_k50_th1.455,50,200,24.5381,1340.18,3.56373,0.9934,0.569312
audio,DAP_k100_th0.474,100,200,24.5365,1338.8,3.18802,0.992,0.563415
audio,DAP_k10_th3.307,100,200,24.5255,1337.48,3.06649,0.991,0.565878
audio,DAP_k20_th0.897,100,200,24.5323,1343.11,3.15237,0.991,0.562285
audio,DAP_k50_th2.829,50,200,24.5334,1341.31,3.18981,0.9928,0.566633
audio,DAP_k100_th3.739,100,200,24.5426,1343.38,3.17267,0.9904,0.56264
audio,DAP_k10_th0.921,100,200,24.5353,1346.51,3.06346,0.9911,0.562848
audio,DAP_k20_th3.428,100,200,24.532,1339.72,3.25719,0.9911,0.567395
audio,DAP_k50_th0.890,50,200,24.528,1343.96,3.25809,0.9938,0.565188
audio,DAP_k100_th0.928,100,200,24.5342,1344.45,3.12101,0.9926,0.564313
audio,DAP_k10_th1.447,100,200,24.5388,1342.37,3.27621,0.9911,0.563824
audio,DAP_k20_th0.945,100,200,24.5372,1339.99,3.31477,0.991,0.563542
audio,DAP_k50_th0.975,50,200,24.5473,1342.25,3.27836,0.9942,0.569156
audio,DAP_k100_th2.271,100,200,24.54,1343.34,3.2346,0.9915,0.563491
audio,DAP_k10_th3.266,100,200,24.5468,1345.07,3.31329,0.9913,0.564989
audio,DAP_k20_th1.362,100,200,24.5348,1343.17,3.29407,0.9918,0.563495
audio,DAP_k50_th1.344,50,200,24.5357,1344.35,3.26038,0.9952,0.560003
audio,DAP_k100_th1.148,100,200,24.5296,1339,3.19325,0.9903,0.566692
audio,DAP_k10_th0.290,100,200,24.5321,1340.11,3.76546,0.9913,0.564924
audio,DAP_k20_th2.289,100,200,24.5416,1339.66,3.83102,0.9914,0.564755
audio,DAP_k50_th2.946,50,200,24.5333,1341.25,3.91653,0.9946,0.56926
audio,DAP_k100_th2.084,100,200,24.545,1340.11,3.95527,0.9902,0.570311
audio,DAP_k10_th2.150,100,200,24.539,1341.64,3.9024,0.9923,0.567224
audio,DAP_k20_th1.371,100,200,24.5315,1342.29,4.85042,0.9908,0.565988
audio,DAP_k50_th1.629,50,200,24.532,1341.13,4.16465,0.992,0.56785
audio,DAP_k100_th1.259,100,200,24.5397,1340.9,4.28222,0.9907,0.565821
audio,DAP_k10_th3.289,100,200,24.5292,1342.28,4.19788,0.9909,0.561537
audio,DAP_k20_th3.897,100,200,24.5411,1343.03,4.18018,0.9911,0.568409
audio,DAP_k50_th0.918,50,200,24.5401,1346.82,4.1451,0.9944,0.564522
audio,DAP_k100_th1.965,100,200,24.5399,1342.26,4.06365,0.99,0.568482
audio,DAP_k10_th0.403,100,200,24.5489,1341.47,4.10849,0.9923,0.566759
audio,DAP_k20_th2.048,100,200,24.5327,1342.44,4.21918,0.9905,0.569873
audio,DAP_k50_th2.283,50,200,24.528,1340.19,4.25086,0.995,0.564778
audio,DAP_k100_th0.474,100,200,24.5256,1341.38,4.13036,0.9905,0.562242
audio,DAP_k10_th2.944,100,200,24.5369,1338.6,2.17195,0.9903,0.569169
audio,DAP_k20_th2.290,100,200,24.5313,1344.23,2.34975,0.9912,0.565513
audio,DAP_k50_th1.807,50,200,24.5326,1337.94,2.43204,0.993,0.56803
audio,DAP_k100_th0.250,100,200,24.5278,1341.39,2.38089,0.9898,0.563259
audio,DAP_k10_th0.324,100,200,24.5392,1339.24,2.45946,0.9908,0.568658
audio,DAP_k20_th1.958,100,200,24.546,1345.36,2.61612,0.9915,0.570264
audio,DAP_k50_th2.657,50,200,24.5455,1343.41,2.52204,0.9954,0.570295
audio,DAP_k100_th3.377,100,200,24.5377,1340.23,2.46629,0.9917,0.565403
audio,DAP_k10_th1.916,100,200,24.5243,1341.52,2.51959,0.9911,0.567058
audio,DAP_k20_th0.504,100,200,24.5326,1339.13,2.47386,0.9918,0.565352
audio,DAP_k50_th0.716,50,200,24.5313,1344.31,2.54143,0.9934,0.5651
audio,DAP_k100_th1.567,100,200,24.5361,1344.76,2.52147,0.9902,0.566584
audio,DAP_k10_th1.267,100,200,24.5288,1338.86,2.54356,0.9916,0.567289
audio,DAP_k20_th2.246,100,200,24.5354,1341.73,2.5146,0.9916,0.568497
audio,DAP_k50_th0.871,50,200,24.5364,1341.98,2.57359,0.9928,0.567281
audio,DAP_k100_th1.313,100,200,24.5311,1340.66,2.59309,0.9915,0.567773
audio,DAP_k10_th2.764,100,200,24.5234,1341.69,3.07214,0.9906,0.564303
audio,DAP_k20_th0.863,100,200,24.5355,1341.48,2.88568,0.9914,0.570146
audio,DAP_k50_th0.794,50,200,24.5312,1339.2,2.925,0.9922,0.566204
audio,DAP_k100_th2.195,100,200,24.5545,1340.88,2.81687,0.9917,0.566024
audio,DAP_k10_th0.519,100,200,24.527,1344.24,2.79905,0.9914,0.563865
audio,DAP_k20_th1.344,100,200,24.5332,1340.65,3.11098,0.9916,0.567404
audio,DAP_k50_th1.826,50,200,24.545,1339.53,2.93258,0.9948,0.568214
audio,DAP_k100_th1.267,100,200,24.5311,1341.15,2.98983,0.9905,0.560802
audio,DAP_k10_th1.792,100,200,24.5462,1341.55,2.87338,0.9895,0.564556
audio,DAP_k20_th2.861,100,200,24.5391,1341.32,2.91282,0.9904,0.568671
audio,DAP_k50_th1.803,50,200,24.5341,1340.87,2.97589,0.9934,0.570607
audio,DAP_k100_th1.917,100,200,24.5329,1338.6,2.96844,0.9896,0.566629
audio,DAP_k10_th1.389,100,200,24.5449,1341.24,3.09292,0.9916,0.570278
audio,DAP_k20_th2.284,100,200,24.5193,1339.84,2.90726,0.9912,0.567941
audio,DAP_k50_th1.239,50,200,24.5346,1344.94,3.23131,0.9936,0.564575
audio,DAP_k100_th1.836,100,200,24.531,1340.31,2.83078,0.9895,0.563511
