SolmazDataset,SolmazMethod,k,T,efC,UpdateCount,IndexingTime_s,InsertAvg_ms,DeleteAvg_ms,SearchRt0p8_ms,SearchRt0p9_ms,SearchRt0p95_ms,SearchRt0p97_ms,MaxRecall,MaxRecallEf
audio,DAPG,1,24,80,200,124.615,1.04675,0.49134,0.09884,0.09884,0.09884,0.15098,0.99,41
audio,PSEUDO_DAPG,1,24,80,200,124.615,0.97108,0.464875,0.08764,0.08764,0.08764,0.08764,0.99,21
audio,AWARE_PSEUDO_DAPG,1,24,80,200,124.615,1.00673,0.45328,0.15374,0.15374,0.15374,0.15374,0.99,21
audio,ANCHOR_PSEUDO_DAPG,1,24,80,200,124.615,0.886655,0.45819,0.11753,0.11753,0.11753,0.11753,0.99,21
audio,LEARNED_ANCHOR_PSEUDO_DAPG,1,24,80,200,124.615,0.906305,0.400345,0.11629,0.11629,0.11629,0.11629,0.99,21
audio,LIGA_COL,1,24,80,200,124.615,0.90239,0.417405,7.81083,7.81083,7.81083,7.81083,1,1
audio,LSHAPG_BASE,1,24,80,200,114.107,,,0.10096,0.10096,0.10096,0.17441,0.99,41
audio,DAPG,10,24,80,200,124.615,0.98373,0.526185,0.07004,0.12331,0.12331,0.12331,0.971,30
audio,PSEUDO_DAPG,10,24,80,200,124.615,1.07702,0.518185,0.06808,0.06808,0.11777,0.11777,0.984,30
audio,AWARE_PSEUDO_DAPG,10,24,80,200,124.615,0.99121,0.66448,0.11053,0.11053,0.1566,0.1566,0.984,30
audio,ANCHOR_PSEUDO_DAPG,10,24,80,200,124.615,1.03276,0.49357,0.10591,0.10591,0.15845,0.15845,0.985,30
audio,LEARNED_ANCHOR_PSEUDO_DAPG,10,24,80,200,124.615,1.0035,0.447175,0.09854,0.09854,0.15509,0.15509,0.984,30
audio,LIGA_COL,10,24,80,200,124.615,0.95447,0.471375,14.8906,14.8906,14.8906,14.8906,1,10
audio,LSHAPG_BASE,10,24,80,200,114.107,,,0.07966,0.13117,0.13117,0.13117,0.971,30
audio,DAPG,20,24,80,200,124.615,1.0431,0.52881,0.10912,0.10912,0.15469,0.21035,0.9775,60
audio,PSEUDO_DAPG,20,24,80,200,124.615,1.03103,0.482195,0.09725,0.09725,0.09725,0.14217,0.9765,40
audio,AWARE_PSEUDO_DAPG,20,24,80,200,124.615,1.06234,0.46155,0.14312,0.14312,0.14312,0.18694,0.9765,40
audio,ANCHOR_PSEUDO_DAPG,20,24,80,200,124.615,1.03421,0.466915,0.14978,0.14978,0.14978,0.19617,0.9775,40
audio,LEARNED_ANCHOR_PSEUDO_DAPG,20,24,80,200,124.615,0.99305,0.488845,0.13671,0.13671,0.13671,0.19306,0.9765,40
audio,LIGA_COL,20,24,80,200,124.615,1.00243,0.449985,20.7321,20.7321,20.7321,20.7321,1,20
audio,LSHAPG_BASE,20,24,80,200,114.107,,,0.11493,0.11493,0.17349,0.17349,0.97,40
audio,DAPG,50,24,80,200,124.615,1.11356,0.535955,0.18032,0.18032,0.23194,0.27698,0.9752,90
audio,PSEUDO_DAPG,50,24,80,200,124.615,1.03183,0.517215,0.15746,0.15746,0.15746,0.15746,0.9714,50
audio,AWARE_PSEUDO_DAPG,50,24,80,200,124.615,1.03097,0.478715,0.27057,0.27057,0.27057,0.27057,0.971,50
audio,ANCHOR_PSEUDO_DAPG,50,24,80,200,124.615,1.06852,0.44456,0.19116,0.19116,0.19116,0.23323,0.9796,70
audio,LEARNED_ANCHOR_PSEUDO_DAPG,50,24,80,200,124.615,0.86413,0.36275,0.18247,0.18247,0.18247,0.23338,0.9788,70
audio,LIGA_COL,50,24,80,200,124.615,0.84944,0.42782,33.8552,33.8552,33.8552,33.8552,1,50
audio,LSHAPG_BASE,50,24,80,200,114.107,,,0.1742,0.1742,0.1742,0.2572,0.9792,90
audio,DAPG,100,24,80,200,124.615,1.07241,0.576685,0.31288,0.31288,0.31288,0.36474,0.9728,120
audio,PSEUDO_DAPG,100,24,80,200,124.615,1.10604,0.50377,0.27529,0.27529,0.27529,0.27529,0.9839,100
audio,AWARE_PSEUDO_DAPG,100,24,80,200,124.615,1.08178,0.564065,0.41097,0.41097,0.41097,0.41097,0.9831,100
audio,ANCHOR_PSEUDO_DAPG,100,24,80,200,124.615,1.26974,0.52314,0.50949,0.50949,0.50949,0.50949,0.9827,100
audio,LEARNED_ANCHOR_PSEUDO_DAPG,100,24,80,200,124.615,1.15735,0.606975,0.31982,0.31982,0.31982,0.31982,0.9823,100
audio,LIGA_COL,100,24,80,200,124.615,0.947355,0.42581,61.8769,61.8769,61.8769,61.8769,1,100
audio,LSHAPG_BASE,100,24,80,200,114.107,,,0.33744,0.33744,0.33744,0.35418,0.9739,120
