SolmazDataset,SolmazMethod,k,T,efC,UpdateCount,IndexingTime_s,InsertAvg_ms,DeleteAvg_ms,SearchRt0p8_ms,SearchRt0p9_ms,SearchRt0p95_ms,SearchRt0p97_ms,,
sift,LSH_APG_ORIG,10,24,80,5000,23368.3,77.9512,78.0052,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,10,24,80,5000,23368.3,78.1109,78.7473,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,20,24,80,5000,16816.8,56.7898,57.1507,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,20,24,80,5000,16816.8,56.0191,56.9059,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,10,24,40,200,0,11.8111,11.9813,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,10,24,40,200,0,12.3069,12.4243,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,20,24,40,200,0,11.1371,11.4884,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,20,24,40,200,0,18.6691,11.2055,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,50,24,40,200,0,13.7286,12.9631,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,50,24,40,200,0,13.0907,13.6812,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,100,24,40,200,0,11.4344,14.8384,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,100,24,40,200,0,11.5991,14.379,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,10,24,40,200,0,14.5551,16.3639,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,10,24,40,200,0,13.7719,13.7705,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,20,24,40,200,0,10.9053,12.4166,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,20,24,40,200,0,11.5103,11.6719,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,50,24,80,200,-1,15.7368,15.1398,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,50,24,80,200,-1,13.5948,12.7673,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,10,24,80,200,-1,13.0847,14.477,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,10,24,80,200,-1,12.724,13.0289,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,20,24,80,200,-1,15.6585,16.5307,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,20,24,80,200,-1,17.676,14.605,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,50,24,80,200,-1,13.6484,15.0577,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,50,24,80,200,-1,16.5446,14.3216,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,10,24,80,200,-1,13.5905,14.1341,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,10,24,80,200,-1,13.681,14.1263,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,20,24,80,200,-1,13.3604,13.5273,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,20,24,80,200,-1,13.4562,13.5052,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,50,24,80,200,-1,13.3492,13.3062,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,50,24,80,200,-1,13.4501,14.2417,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,100,24,80,200,-1,12.7994,13.2448,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,100,24,80,200,-1,17.102,17.6055,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,10,24,80,200,-1,13.6957,13.7668,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,10,24,80,200,-1,15.0903,15.2051,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,20,24,80,200,-1,14.3062,15.1347,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,20,24,80,200,-1,17.3633,16.6094,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,50,24,80,200,-1,14.5036,17.2412,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,50,24,80,200,-1,14.4895,14.3929,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,100,24,80,200,-1,14.6409,15.701,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,100,24,80,200,-1,14.7019,15.9527,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,10,24,80,200,-1,14.8489,15.4848,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,10,24,80,200,-1,15.4006,15.4927,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,20,24,80,200,-1,8.55743,9.2602,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,20,24,80,200,-1,9.40945,9.9197,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,50,24,80,200,-1,9.76526,9.85726,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,50,24,80,200,-1,9.15367,9.95757,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,100,24,80,200,-1,9.25309,9.53899,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,100,24,80,200,-1,10.4875,9.96367,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,10,24,80,200,-1,8.34077,9.07586,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,10,24,80,200,-1,8.67368,9.6599,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,20,24,80,200,-1,9.42908,9.3503,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,20,24,80,200,-1,9.5336,8.76894,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,50,24,80,200,-1,9.72037,11.1653,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,50,24,80,200,-1,10.7862,11.3384,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,100,24,80,200,-1,10.5367,11.7974,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,100,24,80,200,-1,10.9338,10.1049,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,10,24,80,200,-1,11.1133,10.772,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,10,24,80,200,-1,13.1585,12.0909,-1,-1,-1,-1,,
