SolmazDataset,SolmazMethod,k,T,efC,UpdateCount,IndexingTime_s,InsertAvg_ms,DeleteAvg_ms,SearchRt0p8_ms,SearchRt0p9_ms,SearchRt0p95_ms,SearchRt0p97_ms,MaxRecall,MaxRecallEf
sift,DAPG,1,24,80,200,110.277,1.01406,0.127795,0.37358,0.48192,0.59211,0.69166,0.97,81
sift,PSEUDO_DAPG,1,24,80,200,110.277,1.20097,0.04503,0.37119,0.44157,0.52832,0.5797,0.97,81
sift,LIGA_COL,1,24,80,200,110.277,0.900415,0.031005,,,,,0.38,1561
sift,LSHAPG_BASE,1,24,80,200,123.593,,,0.40821,0.50376,0.72045,0.72045,0.97,81
sift,DAPG,10,24,80,200,110.277,1.1517,0.136845,0.47208,0.59315,0.72918,0.93375,0.972,110
sift,PSEUDO_DAPG,10,24,80,200,110.277,1.05805,0.04818,0.40936,0.40936,0.50316,0.58454,0.976,70
sift,LIGA_COL,10,24,80,200,110.277,1.0004,0.03534,,,,,0.308,1970
sift,LSHAPG_BASE,10,24,80,200,123.593,,,0.44737,0.56199,0.65721,0.83697,0.977,110
sift,DAPG,20,24,80,200,110.277,1.02228,0.125855,0.38255,0.48567,0.73897,0.95997,0.973,120
sift,PSEUDO_DAPG,20,24,80,200,110.277,1.08312,0.04783,0.38651,0.46472,0.64544,0.73089,0.974,100
sift,LIGA_COL,20,24,80,200,110.277,1.01562,0.034855,,,,,0.3,2000
sift,LSHAPG_BASE,20,24,80,200,123.593,,,0.44046,0.50733,0.79051,0.95533,0.9735,120
sift,DAPG,50,24,80,200,110.277,1.14877,0.28811,0.62206,0.69386,0.94239,1.20009,0.973,170
sift,PSEUDO_DAPG,50,24,80,200,110.277,0.970345,0.04601,0.50588,0.50588,0.62103,0.76566,0.9756,130
sift,LIGA_COL,50,24,80,200,110.277,0.87388,0.03006,,,,,0.2946,2050
sift,LSHAPG_BASE,50,24,80,200,123.593,,,0.5649,0.65673,0.87845,1.11781,0.9732,170
sift,DAPG,100,24,80,200,110.277,1.18632,0.24054,0.86154,0.86154,1.31719,1.84407,0.9721,280
sift,PSEUDO_DAPG,100,24,80,200,110.277,1.19271,0.051175,0.81243,0.81243,0.89755,1.11961,0.972,160
sift,LIGA_COL,100,24,80,200,110.277,1.09285,0.036695,,,,,0.2864,2100
sift,LSHAPG_BASE,100,24,80,200,123.593,,,1.00015,1.00015,1.30209,1.72989,0.9704,260
